Source,Target,Type,Id,Label,timeset,Weight
26987778,103900446,Directed,691,,,1
26987778,146047034,Directed,692,,,1
26987778,264947603,Directed,693,,,1
27535543,20030036,Directed,694,,,1
27535543,20476617,Directed,695,,,1
27535543,26987778,Directed,696,,,1
27535543,32996573,Directed,697,,,1
27535543,38914349,Directed,698,,,1
27535543,45862629,Directed,699,,,1
27535543,77665676,Directed,700,,,1
27535543,80047424,Directed,701,,,1
27535543,94735710,Directed,702,,,1
27535543,100679237,Directed,703,,,1
27535543,103603011,Directed,704,,,1
27535543,135638548,Directed,705,,,1
27535543,137992384,Directed,706,,,1
27535543,141954856,Directed,707,,,1
27535543,156461947,Directed,708,,,1
27535543,193297541,Directed,709,,,1
27942474,918798,Directed,710,,,1
27942474,13400887,Directed,711,,,1
27942474,13493426,Directed,712,,,1
27942474,20476617,Directed,713,,,1
27942474,55672956,Directed,714,,,1
27942474,65836797,Directed,715,,,1
29361763,681368,Directed,716,,,1
29361763,5252078,Directed,717,,,1
29361763,6660444,Directed,718,,,1
29361763,11227609,Directed,719,,,1
29361763,20030036,Directed,720,,,1
29361763,30868506,Directed,721,,,1
29361763,33717282,Directed,722,,,1
29361763,44120838,Directed,723,,,1
29361763,46986076,Directed,724,,,1
29361763,54458327,Directed,725,,,1
29361763,57872530,Directed,726,,,1
29361763,61099505,Directed,727,,,1
29361763,67239996,Directed,728,,,1
29361763,68129316,Directed,729,,,1
29361763,83373018,Directed,730,,,1
29361763,103900446,Directed,731,,,1
29361763,111698345,Directed,732,,,1
29361763,141468568,Directed,733,,,1
29361763,141954856,Directed,734,,,1
29361763,144596911,Directed,735,,,1
29361763,146047034,Directed,736,,,1
29361763,152780422,Directed,737,,,1
29361763,156763202,Directed,738,,,1
29361763,168940440,Directed,739,,,1
29361763,188870724,Directed,740,,,1
29361763,195983394,Directed,741,,,1
29361763,230662240,Directed,742,,,1
29361763,238708112,Directed,743,,,1
29361763,241130407,Directed,744,,,1
29361763,284700336,Directed,745,,,1
29361763,309380107,Directed,746,,,1
29361763,313046065,Directed,747,,,1
29361763,445656147,Directed,748,,,1
30868506,5252078,Directed,749,,,1
30868506,7877958,Directed,750,,,1
30868506,11227609,Directed,751,,,1
30868506,24238237,Directed,752,,,1
30868506,26987778,Directed,753,,,1
30868506,29361763,Directed,754,,,1
30868506,31210108,Directed,755,,,1
30868506,39300360,Directed,756,,,1
30868506,44120838,Directed,757,,,1
30868506,46986076,Directed,758,,,1
30868506,67239996,Directed,759,,,1
